,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
18726,101400,2025,0,1,0.09052233,0.9094772,5.1586176e-07,5.206663e-09
18727,101401,2025,0,1,0.45303008,0.54696953,2.0373889e-07,2.010828e-07
18728,101402,2025,0,1,0.37038973,0.6296098,2.5522198e-07,1.3902988e-07
18729,101403,2025,0,1,0.28965783,0.71034175,3.345597e-07,8.658537e-08
18730,101404,2025,1,1,0.010374688,0.9896236,1.6562425e-06,6.0633427e-09
18731,101405,2025,1,1,0.000600747,0.99939394,5.282373e-06,8.6976965e-10
18732,101406,2025,1,1,0.00081443187,0.99918073,4.8258803e-06,9.464649e-10
18733,101407,2025,1,1,0.013072239,0.986927,7.313899e-07,3.992019e-09
18734,101409,2025,0,0,0.7303445,0.26965532,2.9627648e-08,2.3310395e-07
18735,101410,2025,0,0,0.9767845,0.023215001,6.585141e-10,4.833331e-07
18736,101411,2025,0,0,0.7858367,0.21416304,2.8868604e-08,2.7010532e-07
18737,101412,2025,0,0,0.9915359,0.008463445,1.3784514e-10,6.133338e-07
18738,101413,2025,0,1,0.4613223,0.5386773,2.6692533e-07,1.9150664e-07
18739,101414,2025,1,1,0.003369676,0.996626,4.277828e-06,4.3313646e-09
18740,101415,2025,1,1,0.023743896,0.9762542,1.914076e-06,1.3675057e-08
18741,101419,2025,0,0,0.90108144,0.09891858,3.2797473e-10,6.924689e-12
18742,101420,2025,0,1,0.4260964,0.57390356,1.7772946e-08,3.0377718e-11
18743,101421,2025,1,1,0.012054923,0.9879429,2.1628284e-06,1.522541e-10
18744,101422,2025,1,1,0.0014038585,0.99856937,2.6768183e-05,1.1146534e-09
18745,101423,2025,1,1,0.007164194,0.9928284,7.4063605e-06,2.4688748e-10
18746,101424,2025,1,1,0.20451084,0.79548913,8.191347e-08,1.329579e-11
18747,101425,2025,0,0,0.6867366,0.31326342,1.3163616e-09,1.4981087e-12
18748,101426,2025,0,1,0.43430546,0.5656945,1.5208746e-08,1.0192577e-11
18749,101427,2025,1,1,0.098843455,0.9011563,2.3052189e-07,1.8238095e-11
18750,101428,2025,1,1,0.017021619,0.9829754,2.9945863e-06,9.221286e-11
18751,101429,2025,1,1,0.071149506,0.9288501,3.645242e-07,2.233391e-11
18752,101431,2025,0,0,0.8408756,0.1591244,8.828344e-10,1.0091356e-11
18753,101432,2025,0,0,0.9809367,0.019063322,7.123763e-11,7.3877545e-12
18754,101433,2025,0,0,0.99722207,0.0027779355,4.5885496e-12,2.3707301e-12
18755,101435,2025,0,0,0.9922449,0.0077551263,2.7919644e-11,5.37532e-12
18756,101436,2025,0,0,0.9061793,0.09382068,6.129102e-10,1.2396356e-11
18757,101437,2025,0,0,0.59758323,0.40241677,4.313467e-09,1.2422938e-11
18758,101439,2025,1,1,0.08489695,0.9151029,1.5510608e-07,3.222187e-12
18759,101440,2025,1,1,0.004874061,0.9951119,1.4108357e-05,1.9688821e-10
