,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
20168,108127,2025,0,0,0.8506096,0.14939044,2.225679e-12,3.3672568e-11
20169,108128,2025,0,1,0.23837171,0.76162827,1.5691136e-10,3.4532965e-10
20170,108129,2025,0,1,0.22182642,0.7781736,1.6616206e-10,3.819452e-10
20171,108130,2025,0,1,0.31235343,0.6876466,7.435777e-11,1.8803789e-10
20172,108131,2025,0,0,0.9523584,0.04764163,1.9865956e-13,2.8483455e-12
20173,108132,2025,0,0,0.8365641,0.16343586,3.5598796e-12,3.0882515e-11
20174,108135,2025,0,0,0.9245964,0.07540365,1.5871594e-12,6.4434937e-12
20175,108136,2025,0,0,0.98540306,0.014596962,6.6844743e-14,8.0286136e-13
20176,108137,2025,0,0,0.9990615,0.00093847816,7.48705e-16,6.1471736e-14
20177,108138,2025,0,0,0.99849784,0.0015021053,1.224146e-15,8.1896966e-14
20178,108140,2025,0,0,0.9998598,0.0001401459,3.7340782000000003e-17,2.8105604e-14
20179,108141,2025,0,0,0.9999354,6.460459e-05,4.7679253e-18,5.1095886e-15
20180,108142,2025,0,0,0.999808,0.00019198573,2.5486302000000002e-17,3.087944e-14
20181,108143,2025,0,0,0.99739045,0.0026095468,1.0461777e-15,2.3854998e-13
20182,108144,2025,0,0,0.9999305,6.95062e-05,2.026194e-18,1.1184095e-14
20183,108145,2025,0,0,0.99994004,5.9964677e-05,1.5139902e-18,3.2834332e-15
20184,108147,2025,0,0,0.9999989,1.0394376e-06,1.4232068000000001e-21,1.6622838e-16
20185,108148,2025,0,0,0.99999666,3.3639055e-06,2.0586834e-20,6.320121500000001e-16
20186,108149,2025,0,0,0.99999404,6.016712e-06,4.6165467e-20,5.63698e-16
20187,108150,2025,0,0,0.99998856,1.1400253e-05,6.358122999999999e-19,2.4192673e-15
20188,108151,2025,0,0,0.99997723,2.2768036e-05,3.687671e-18,6.4286684e-15
20189,108152,2025,0,0,0.99993265,6.7388486e-05,1.1077321000000001e-16,2.9848164e-14
20190,108153,2025,0,0,0.99982834,0.0001716784,1.7855775000000002e-16,2.530888e-14
20191,108154,2025,0,0,0.9999906,9.471101e-06,6.965597000000001e-18,5.1862036e-15
20192,108155,2025,0,0,0.9999789,2.1106041e-05,1.4049597e-17,1.20033005e-14
20193,108156,2025,0,0,0.9999963,3.7509028e-06,4.6030543e-19,1.4233702e-15
20194,108157,2025,0,0,0.99999344,6.6055163e-06,2.6719246999999997e-18,3.465299e-15
20195,108158,2025,0,0,0.99999475,5.1974785e-06,2.275183e-18,3.1204467e-15
20196,108159,2025,0,0,0.9999963,3.7381826e-06,1.1896450999999998e-18,1.8223941e-15
20197,108160,2025,0,0,0.9999969,3.1332845e-06,1.288686e-18,2.0852221e-15
20198,108161,2025,0,0,0.999995,5.0250374e-06,7.788168499999999e-18,6.794449e-15
20199,108162,2025,0,0,0.99999547,4.5573393e-06,6.9962556e-18,7.331577e-15
20200,108163,2025,0,0,0.9999974,2.6267214e-06,6.8324767e-19,1.4570482e-15
20201,108164,2025,0,0,0.9999974,2.5669112e-06,3.2108936999999998e-18,5.9777783e-15
20202,108165,2025,0,0,0.99999726,2.7111828e-06,8.1680813e-19,1.8424152e-15
20203,108166,2025,0,0,0.9999975,2.450766e-06,5.367191399999999e-19,1.739467e-15
20204,108167,2025,0,0,0.99999654,3.424816e-06,4.1816275e-19,1.3793044e-15
20205,108168,2025,0,0,0.9999969,3.149375e-06,1.9980118999999998e-19,1.0963604e-15
20206,108169,2025,0,0,0.99999857,1.454426e-06,2.3448162e-20,2.8017195e-16
20207,108170,2025,0,0,0.9999982,1.8131108e-06,4.9969942e-20,3.644121e-16
20208,108171,2025,0,0,0.99999845,1.5706083e-06,8.142173e-20,4.2824236000000005e-16
20209,108172,2025,0,0,0.9999988,1.1844774e-06,1.19990165e-20,2.7287288e-16
20210,108173,2025,0,0,0.9999988,1.1693287e-06,2.5019929999999998e-20,4.333467e-16
20211,108174,2025,0,0,0.9999981,1.8539561e-06,2.0507006e-19,1.1319755e-15
20212,108175,2025,0,0,0.99999905,9.415915e-07,3.8242644e-20,4.4933573e-16
20213,108176,2025,0,0,0.99999785,2.0918865e-06,1.4735302999999998e-18,5.531096e-15
20214,108177,2025,0,0,0.9999993,6.952251e-07,7.091178e-20,5.476932e-16
20215,108178,2025,0,0,0.9999988,1.2409226e-06,2.8674565e-19,1.8788353e-15
20216,108179,2025,0,0,0.99999905,9.838421e-07,1.6141095999999998e-19,1.3382385e-15
20217,108180,2025,0,0,0.99999905,9.555315e-07,1.8436803999999999e-19,1.5970006e-15
20218,108181,2025,0,0,0.99999905,9.712512e-07,3.2139856999999997e-19,2.5234998e-15
20219,108182,2025,0,0,0.99999845,1.5559102e-06,1.2332872999999999e-18,4.6198905e-15
20220,108183,2025,0,0,0.9999995,5.347672e-07,1.2337537e-19,8.697066e-16
20221,108184,2025,0,0,0.9999993,7.30395e-07,2.4717146999999997e-19,1.0045298e-15
20222,108185,2025,0,0,0.99999905,9.934108e-07,1.007195e-18,3.2782451e-15
