Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao_1,UsoeOcupacao_2,UsoeOcupacao_3,EconomiaUrbana,Inovacao_1,Inovacao_2,MobilidadeUrbana_1,MobilidadeUrbana_2,MobilidadeUrbana_3,Usolocal_1,Usolocal_2,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
44,001047,2025,86.6346125592512,9408.0,1,-4806.991034029522,-24.412574610582155,-53.80231305863235,-2942.0373009681257,7705.541186040466,-1492.6075284108117,-21.72253617138989,-80637.28390929263,15855.90952200712,15212.343179170177,-37.2620348476107,-1997.3948297569812,-57.988179372665314,001047,2025,1,1,0.00091078883,0.99883074,0.00024033706,1.813029e-05
45,001048,2025,406.650324510892,45584.0,1,-4787.832849557538,-7.80621629777497,-57.13728471879038,-2909.363778118683,7705.541186040466,-1528.7328228834026,-22.009054759499453,-80636.89476460665,15857.49007431178,15212.219674424854,-21.235174058740164,-2028.159436300444,-59.27121656313695,001048,2025,1,1,0.0012494148,0.9987262,1.5352109e-05,9.083809e-06
46,001049,2025,7.50971055060987,251685.0,1,-4930.340916766368,2081.202695475876,372.5482136423541,-3067.999785690112,-1739.834844519238,-1529.9351549017963,118.70516252743906,-117559.49841176935,23669.714908741124,5550.412409979379,2065.841973391686,-1999.2566037398435,374.68106464458674,001049,2025,1,1,0.00032905664,0.99306303,0.005662491,0.0009453835
47,001050,2025,17.1808354217121,1301625.0,1,-4910.226560074676,6038.472210461646,71.3109816339956,-2825.332626180577,-1739.834844519238,-1431.5287554945198,-21.23810541352527,-117526.64514518714,23668.65595231548,5555.288792316998,6025.777019305308,-1977.3441890075867,90.53734240970248,001050,2025,1,1,0.00027833614,0.86367387,0.13548326,0.0005645231
48,001051,2025,17.1808354217121,2963520.0,2,-4810.976218650758,2267.231673312266,-65.06506933351392,-2872.2719011869563,-1739.834844519238,-1289.2256935531482,-20.10946485885676,-117526.64514518714,23668.65595231548,5555.288792316998,2254.8771500322982,-2012.361264083191,-60.19764098425726,001051,2025,2,2,0.00025191612,0.18157388,0.818171,3.098464e-06
49,001052,2025,21.6536571314209,177714.0,1,-4717.235896968325,528.6099622566169,-60.625129953341656,-2631.01188344038,-1739.834844519238,-1159.1118900825104,-19.077500308581424,-117525.26075241204,23674.27881000849,5554.849420835702,517.8324384180803,-2004.510591558855,-60.38874808699781,001052,2025,1,1,0.0017688356,0.95993865,0.038292572,2.1821432e-08
50,001053,2025,163.460151994116,776064.0,1,-4778.695029498701,2172.4224104901623,-63.91037774027309,-3018.721034776305,7705.541186040466,-1416.2084508475782,-21.11659631246644,-80637.71984920687,15854.138905933076,15212.481535545116,2158.725608262623,-2004.541592907452,-59.45157672283873,001053,2025,1,1,0.0014285555,0.9944021,0.0041644205,4.9523755e-06
51,001054,2025,622.924300666525,61488.0,1,-4884.653012819687,-35.272540171586066,-54.78140208072352,-3100.8284549888867,7705.541186040466,-1439.6894047152257,-21.30282952794177,-80638.08180883277,15852.668768625454,15212.596412435452,-49.14879621632458,-2033.5991850884236,-59.08753794831951,001054,2025,1,1,0.0006647931,0.9908766,0.008382724,7.584804e-05
52,001055,2025,306.003732919003,96588.0,1,-4942.421791043334,107.82227267208616,-55.91976826433627,-2973.22327282494,7705.541186040466,-1503.3518407363656,-21.807751952815885,-83411.70558641358,16058.017431552724,14122.31382939212,94.81340911334354,-1995.745574538012,-60.56058633823984,001055,2025,1,1,0.00035571214,0.99898607,0.00033314683,0.00032512055
53,001056,2025,59.1737091100621,3806.0,1,-4927.54820629568,-31.49903404911912,-47.356953021885616,-2952.442645629544,7705.541186040466,-1490.8479433943676,-21.70858047021346,-80638.18969049904,15852.230595826515,15212.63065136559,-45.011284235677365,-1901.1016296453104,-60.73863877998674,001056,2025,1,1,0.00037276835,0.99853456,0.0008354808,0.00025724302
