variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
DistanciaAreasVerdes,0,3,357524,12724,4090479822.5,0.0,0.0,True
DistanciaAreasVerdes,0,2,357524,5848,1086961303.5,1.7575792243284195e-07,2.1090950691941033e-07,True
DistanciaAreasVerdes,3,2,12724,5848,7738369.0,0.0,0.0,True
EmpresaGrandePorte,1,0,35757,357524,8255307676.0,0.0,0.0,True
EmpresaGrandePorte,1,3,35757,3221,36379776.0,1.8962116194014967e-263,2.8443174291022452e-263,True
EmpresaGrandePorte,1,2,35757,5848,92014543.5,4.293535226752497e-49,4.293535226752497e-49,True
EmpresaGrandePorte,0,3,357524,3221,215981743.0,0.0,0.0,True
EmpresaGrandePorte,0,2,357524,5848,602874522.5,0.0,0.0,True
EmpresaGrandePorte,3,2,3221,5848,12029758.5,2.738943911996067e-106,3.2867326943952806e-106,True
Ate2SalariosMinimos,1,0,35757,357524,9151850574.5,0.0,0.0,True
Ate2SalariosMinimos,1,3,35757,3221,35503823.5,1.7170720065727808e-285,2.5756080098591712e-285,True
Ate2SalariosMinimos,1,2,35757,5848,87225552.0,4.388867977328417e-92,5.2666415727941e-92,True
Ate2SalariosMinimos,0,3,357524,3221,173897613.0,0.0,0.0,True
Ate2SalariosMinimos,0,2,357524,5848,471493865.0,0.0,0.0,True
Ate2SalariosMinimos,3,2,3221,5848,11587811.0,5.932539209171074e-74,5.932539209171074e-74,True
ResidencialPopularVert,1,0,35757,357524,6678808695.0,5.17363216117155e-250,3.10417929670293e-249,True
ResidencialPopularVert,1,3,35757,12724,226150505.5,0.062183259083144135,0.07461991089977296,False
ResidencialPopularVert,1,2,35757,5848,105191975.5,0.15180123993913433,0.15180123993913433,False
ResidencialPopularVert,0,3,357524,12724,2160469846.0,1.231014149865631e-123,3.693042449596893e-123,True
ResidencialPopularVert,0,2,357524,5848,1004963231.0,2.405552057279785e-36,4.81110411455957e-36,True
ResidencialPopularVert,3,2,12724,5848,37658671.5,0.011437798989469375,0.017156698484204064,True
DestinoMotivoResidencia,1,0,35757,357524,3162470660.5,0.0,0.0,True
DestinoMotivoResidencia,1,3,35757,12724,257427118.0,4.501503461680352e-108,6.7522551925205284e-108,True
DestinoMotivoResidencia,1,2,35757,5848,118430631.5,1.021191861200284e-59,1.2254302334403407e-59,True
DestinoMotivoResidencia,0,3,357524,12724,3718939751.5,0.0,0.0,True
DestinoMotivoResidencia,0,2,357524,5848,1695607725.0,0.0,0.0,True
DestinoMotivoResidencia,3,2,12724,5848,37293705.5,0.7937284018889028,0.7937284018889028,False
Brasileira,1,0,35757,357524,8452301747.0,0.0,0.0,True
Brasileira,1,3,35757,3221,34339371.5,0.0,0.0,True
Brasileira,1,2,35757,5848,89073673.5,7.28845656583747e-74,7.28845656583747e-74,True
