variavel,n,k,F,p_anova,eta2,omega2,H,p_kw,eps2_kw,levene_p
Terreno_pct,411853,4,1152.7062167732058,0.0,0.008326653926756515,0.008319410324912893,11287.904441328905,0.0,0.02740058720873161,0.0
ResidencialPopularHor,411853,4,2450.321559664101,0.0,0.01753569966214429,0.017528501358815066,26712.522187497674,0.0,0.06485270617992923,0.0
30a39anos,402350,4,1042.6846766938836,0.0,0.007714560275784216,0.007707142520905386,16543.544873526225,0.0,0.0411102505642562,1.8829357950211453e-282
DestinoMotivoOutros,411853,4,148.83359282650846,2.107138199601068e-96,0.0010829630147223554,0.0010756840711529866,320.70362543281124,3.284221843951045e-69,0.0007714080292359852,6.243305025347175e-116
CA,411853,4,8170.318323491822,0.0,0.05617141236558681,0.05616440859639629,25025.28252266757,0.0,0.06075596279866546,0.0
ResidencialMedioPadraoVert,411853,4,2773.5108927291562,0.0,0.019802798706398013,0.0197956116179093,20046.023378547296,0.0,0.048665951303869366,0.0
ValorTerrenoM2,411853,4,41513.67880348223,0.0,0.2321837244477592,0.23217769865033708,77871.98938165016,0.0,0.18907169710658556,0.0
OutrosUsos_pct,411853,4,414.8301079718255,4.158720283221283e-269,0.003012611801119511,0.003005342247343942,3160.983785911093,0.0,0.007667819482167233,2.9574991483030977e-252
densidade_hec,410485,4,1326.504186066999,0.0,0.009601668766073754,0.009594407291660388,8501.412507397885,0.0,0.020703546588996532,4.197686585219168e-43
50a64anos,402350,4,1758.9452114504431,0.0,0.012945387679616636,0.012937996194810576,17055.522139957888,0.0,0.042382730634722074,0.0
cr_5_pct,411544,4,451.871019264487,3.8347837973022886e-293,0.0032831859068546566,0.003275912213898772,1515.0744515230874,0.0,0.0036741858665575336,3.8347837973022886e-293
Maisde2Baldeacoes,411853,4,949.1363525369568,0.0,0.006866249611568977,0.006858998863954121,6410.811861927044,0.0,0.015558643730899054,1.2949914211531418e-72
ResidencialPopularVert_pct,411853,4,50.116136133643764,2.2463991957575117e-32,0.00036492389850067443,0.0003576414655233985,1796.476992598558,0.0,0.00435469551364349,2.2463991957575117e-32
cont_aceleradora,411853,4,27.814348134676433,5.6248965267546346e-18,0.0002025648763844381,0.0001952816547486726,953.1304490573211,2.644380155340474e-206,0.0023069873887209174,5.6248965267546346e-18
FracaoIdeal,411853,4,4891.69375141892,0.0,0.03440621971707325,0.03439910546669718,9816.355159612907,0.0,0.02382755611792892,0.0
AreaConstruida,411853,4,987.7641098395837,0.0,0.00714369459226336,0.007136445201392338,39276.359325543985,0.0,0.09535863708675749,0.0
ConcentracaoPatrimonioHistorico,411853,4,0.37884242990086836,0.7682644078129933,2.7595651643721076e-06,-4.524626849424559e-06,3791.3624057546176,0.0,0.009198425650553036,0.7682644078129933
AreadaQuadra,411853,4,63.474166411214995,5.055900790784285e-41,0.0004621463113374769,0.0004548643506790735,748.9604567260417,5.070507763629618e-162,0.001811247463818151,3.8964839021310157e-41
ConcentracaoBOs,411853,4,20.725596883254664,2.0185817492764055e-13,0.00015094708314109377,0.0001436636107988621,18269.281161089526,0.0,0.04435188906878377,2.0906750007611095e-13
Terreno,411853,4,381.7649260167909,1.1987566288071746e-247,0.0027731491512876035,0.002765878431288808,9942.132554650043,0.0,0.024132952986774384,7.33408868897313e-226
DeslocamentoTansporteColetivo,411853,4,4587.414521988037,0.0,0.032335244366802414,0.03232811972391395,17598.698243642364,0.0,0.04272366387594085,4.028469960606812e-09
Feminino,402350,4,1324.999208300883,0.0,0.009782899845535892,0.009775492461940028,17475.50123227767,0.0,0.04342655632783145,1.3e-321
40a49anos,402350,4,1199.9025783096135,0.0,0.008867461008552771,0.00886004903204532,15043.959706657763,0.0,0.037383147108850996,9.412182165683067e-291
OutrosUsos,411853,4,8.241806355709983,1.7628258381676184e-05,6.003155224813794e-05,5.27476383626724e-05,2754.0712895314055,0.0,0.006679805680070622,1.6983352575080845e-05
OrigemMotivoEducacao,411853,4,10538.363620191447,0.0,0.07129120826721946,0.07128428260097974,48455.458811122335,0.0,0.11764617326039965,0.0
DistanciaStartup,411852,4,24989.563121172556,0.0,0.15399777986562976,0.15399130105878117,136045.93625752543,0.0,0.33032316839592624,0.0
DestinoMotivotrabalhoindustria,411853,4,782.6100288994118,0.0,0.005668392213930743,0.005661135612920582,5213.1122714873845,0.0,0.012650540055912202,1.301177052767711e-279
ResidencialAltoPadraoHor,411853,4,1794.9956782299266,0.0,0.01290639593615383,0.012899174810194694,9963.801767628096,0.0,0.024185567447360796,0.0
ValorConstrucaoM2,411853,4,33458.19515363981,0.0,0.195958539024708,0.1959522996550453,52603.586339922374,0.0,0.12771813538438206,0.0
1Baldeacao,411853,4,1796.9848061498715,0.0,0.01292051339130152,0.012913292334783734,9908.341614241343,0.0,0.024050906070529107,2.4812345757833028e-92
ResidencialMedioPadraoHor,411853,4,520.3114433885828,0.0,0.0037757542829609985,0.0037684884476749778,2673.5649748998662,0.0,0.006484330361127176,5.0590672781983145e-95
UsoTotal,411853,4,0.09885457962119322,0.9606734001280328,7.200782940215189e-07,-6.564123623783844e-06,1834.610476160882,0.0,0.0044472864476079385,0.9550750989593182
OrigemMotivoOutros,411853,4,2991.0404077840035,0.0,0.021322836350110768,0.021315656794891544,10065.684039122036,0.0,0.02443294517923325,0.0
ResidencialMedioPadraoVert_pct,411853,4,7722.555414999482,0.0,0.05325696241704582,0.053249943720566725,20868.514695187623,0.0,0.05066302138693459,0.0
Caminhada,411853,4,7425.080215684088,0.0,0.05131075061335329,0.05130372197169664,33095.48284781183,0.0,0.08035100934520134,0.0
DestinoMotivoTrabalhoComercioServico,411853,4,1588.1193223973341,0.0,0.011435922243201793,0.011428693889534538,3278.570095944109,0.0,0.007953327787475772,0.0
DistanciaAceleradoraIncubadora,411852,4,11682.585664541497,0.0,0.07842490434323925,0.07841801589561422,62372.344447889554,0.0,0.15143777424654134,0.0
DeslocamentoVeiculoIndividual,411853,4,3190.6976585693333,0.0,0.022713844027403163,0.02270667137581605,13045.669944655887,0.0,0.03166857257066519,0.0
cr_2_pct,411544,4,4042.1498390716874,0.0,0.028622633515194885,0.028615484930527908,13111.819301504323,0.0,0.031853086702396664,0.0
OrigemMotivoResidencia,411853,4,2752.373300392029,0.0,0.019654843169431703,0.019647655348278188,12810.74449273273,0.0,0.031098156102680182,0.0
ResidencialMedioPadraoHor_pct,411853,4,1687.5807693427305,0.0,0.012143438992628972,0.01213621411525459,4813.9646673132165,0.0,0.01168137998954281,0.0
