variavel,cluster_a,cluster_b,n_a,n_b,media_a,media_b,t,gl_aprox,p_raw,p_adj,significativo
ResidencialPopularVert_pct,1,0,35757,357524,0.01805800262885589,0.016964175831552575,2.182693496868918,47561.51647829933,0.029063262640965995,0.029063262640965995,True
ResidencialPopularVert_pct,1,3,35757,12724,0.01805800262885589,0.028563344860106886,-8.022152959100662,16562.954886382242,1.108057713391622e-15,2.216115426783244e-15,True
ResidencialPopularVert_pct,1,2,35757,5848,0.01805800262885589,0.013243844049247607,4.873366822511688,9553.144247875885,1.114771119605838e-06,1.672156679408757e-06,True
ResidencialPopularVert_pct,0,3,357524,12724,0.016964175831552575,0.028563344860106886,-9.374135762144903,13300.971456793828,8.08519730969086e-21,2.425559192907258e-20,True
ResidencialPopularVert_pct,0,2,357524,5848,0.016964175831552575,0.013243844049247607,4.1803943599409,6377.156424444433,2.9489790351965706e-05,3.538774842235885e-05,True
ResidencialPopularVert_pct,3,2,12724,5848,0.028563344860106886,0.013243844049247607,10.199934658431182,18530.93992906545,2.301161757014151e-24,1.3806970542084904e-23,True
SemBaldeacao,1,0,35757,357524,36316.81648027079,45598.25597949638,-70.46680438959669,42428.45360603899,0.0,0.0,True
SemBaldeacao,1,3,35757,12724,36316.81648027079,24300.69763474959,59.943825560363926,30260.53978666171,0.0,0.0,True
SemBaldeacao,1,2,35757,5848,36316.81648027079,34741.04443040889,4.426580848413151,7622.122608298923,9.707199549190903e-06,9.707199549190903e-06,True
SemBaldeacao,0,3,357524,12724,45598.25597949638,24300.69763474959,132.8712130496838,14263.89540546639,0.0,0.0,True
SemBaldeacao,0,2,357524,5848,45598.25597949638,34741.04443040889,32.4087688303145,5998.758792083339,1.7986196136504786e-212,2.697929420475718e-212,True
SemBaldeacao,3,2,12724,5848,24300.69763474959,34741.04443040889,-28.40819530704501,8500.768865086427,1.124750419179275e-169,1.3497005030151302e-169,True
TO,1,0,35757,357524,0.5112297723048936,0.40989024382363093,107.72013190322559,45101.87293636368,0.0,0.0,True
TO,1,3,35757,12724,0.5112297723048936,0.5045953424008811,3.1316353358713087,18416.641615223194,0.0017410775877935338,0.0017410775877935338,True
TO,1,2,35757,5848,0.5112297723048936,0.5311124089846506,-8.49240450002312,7936.731802156081,2.3927664545112492e-17,2.871319745413499e-17,True
TO,0,3,357524,12724,0.40989024382363093,0.5045953424008811,-48.59342135679378,13402.756090636241,0.0,0.0,True
TO,0,2,357524,5848,0.40989024382363093,0.5311124089846506,-55.37894152036873,6092.687661231381,0.0,0.0,True
TO,3,2,12724,5848,0.5045953424008811,0.5311124089846506,-9.152189652735055,14545.881086569416,6.309202686627245e-20,9.463804029940867e-20,True
TempoMediodeViagem,1,0,35757,357524,9664.055806917399,9894.733282038864,-4.094509476325225,38942.77895412316,4.239163315054314e-05,6.358744972581471e-05,True
TempoMediodeViagem,1,3,35757,12724,9664.055806917399,3122.6911848526015,69.03649259597923,26610.986001615325,0.0,0.0,True
TempoMediodeViagem,1,2,35757,5848,9664.055806917399,10193.66871264685,-3.2300694354472714,7413.919758512761,0.0012429991324526735,0.001491598958943208,True
TempoMediodeViagem,0,3,357524,12724,9894.733282038864,3122.6911848526015,86.92215454418783,13298.885996879746,0.0,0.0,True
TempoMediodeViagem,0,2,357524,5848,9894.733282038864,10193.66871264685,-1.930592207645617,5912.375565343828,0.05358126473748882,0.05358126473748883,False
TempoMediodeViagem,3,2,12724,5848,3122.6911848526015,10193.66871264685,-40.97494395523365,8868.651540429037,0.0,0.0,True
Terreno,1,0,35757,357524,1.4966020639315378,6.976712052897148,-80.00771187770133,361085.0714668244,0.0,0.0,True
Terreno,1,3,35757,12724,1.4966020639315378,2.045268783401446,-9.33361823004765,21271.811800009305,1.120629255400273e-20,1.3447551064803276e-20,True
Terreno,1,2,35757,5848,1.4966020639315378,1.0931942544459645,8.995545963507013,15669.941470007654,2.6152120402155986e-19,2.6152120402155986e-19,True
Terreno,0,3,357524,12724,6.976712052897148,2.045268783401446,61.22110778331775,72110.98608968387,0.0,0.0,True
