Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
20,001023,2025,96.7596658049224,2391552.0,2,-4825.027998985587,31103.318425637983,-1739.834844519238,-1154.6622170642224,-117527.18686786476,31090.092918409453,-57.11755914463591,001023,2025,2,2,0.00014403266,0.049183734,0.9506642,8.032861e-06
21,001024,2025,54.3093253941102,12765.0,1,-4629.616438211029,-39.04255017220714,-1739.834844519238,-1026.4734471175952,-117525.56405740153,-49.97081384742006,-58.70913089758269,001024,2025,1,1,0.0026843033,0.99634486,0.0009708899,1.5100433e-11
22,001025,2025,54.3093253941102,38727.0,1,-4533.451981318979,-38.94920463503489,-1739.834844519238,-952.1522069160432,-117525.56405740153,-49.873177456193744,-58.704539893918856,001025,2025,1,1,0.004849416,0.9950897,6.0879036e-05,2.6159918e-12
23,001026,2025,53.1769918636642,15648.0,3,-5110.542945530274,226.66139426041332,7705.541186040466,-1619.4603840748357,-80636.70223856419,214.6918620625472,-61.73125167449553,001026,2025,3,1,4.7223773e-05,0.9193221,1.5250592e-06,0.08062918
24,001027,2025,77.9340262922286,20812.0,1,-5070.59456554806,96.09584624363184,7705.541186040466,-1507.6698401177448,-80637.74647855114,82.66254292324763,-60.180072773813386,001027,2025,1,1,9.849805e-05,0.9639701,0.0034469808,0.032484364
25,001028,2025,77.9340262922286,1700.0,1,-5020.588979087296,-36.118651806345945,7705.541186040466,-1418.8038834199272,-80637.74647855114,-49.409730285492095,-61.73790400332934,001028,2025,1,1,0.00019094265,0.8586735,0.13490818,0.0062274127
26,001029,2025,77.9340262922286,12080.0,1,-4974.25352346007,-35.55728900228193,7705.541186040466,-1483.3038478461033,-80637.74647855114,-49.38932515333801,-59.48515161339173,001029,2025,1,1,0.00021130599,0.9945738,0.0036148299,0.0016000833
27,001030,2025,38.0055285141636,66150.0,1,-4916.010945552792,-36.78873303896309,-1739.834844519238,-1380.5564695681794,-109329.22093966538,-49.40633348725815,-59.59093752363015,001030,2025,1,2,0.00029251468,0.44191334,0.55764115,0.00015301377
28,001031,2025,38.0055285141636,74124.0,2,-4848.866136926276,-36.78197117036176,-1739.834844519238,-1311.811992189212,-117526.93829423256,-49.44038376199851,-60.53188900666746,001031,2025,2,2,0.00014438228,0.10565781,0.8941949,2.9779842e-06
29,001032,2025,38.0055285141636,102465.0,1,-4735.957545218554,-34.79285404924171,-1739.834844519238,-1225.1410518236078,-117526.93829423256,-49.58324301019768,525.4317155176391,001032,2025,1,1,0.0019773953,0.9561759,0.04184671,7.8864835e-09
