variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
1Baldeacao,2,5848,0,6378.626275328755,4956.2937090000005,6181.753229749412,905.6165577637036,9666.137240875,0.0,20814.3720975,0.9691355102052602,0.0
2a5SalariosMinimos,2,5848,0,391.18057455540355,539.0,228.67009597923848,147.0,606.5,2.0,606.5,0.5845640373097094,0.0
30a39anos,2,5848,0,570.9752906976744,580.0,391.97174255390655,154.0,887.0,2.0,1158.0,0.686495105725077,0.0
40a49anos,2,5848,0,336.4960670314637,336.0,235.4456899026029,108.0,567.0,0.0,690.0,0.6996981925514981,0.0
50a64anos,2,5848,0,187.61474008207935,192.0,129.73462738835656,55.0,336.0,0.0,336.0,0.6914948544639888,0.0
5a10SalariosMinimos,2,5848,0,410.42424760601915,383.0,278.0163063659897,153.0,666.0,2.0,776.0,0.677387625091945,0.0
AreaConstruida,2,5848,0,876.1297024623804,429.75,731.9542512265352,150.0,1659.5,0.0,1659.5,0.8354405165917362,0.0
AreaOcupada,2,5848,0,13441.207923850481,7864.0,11963.882375213238,4316.0,20359.5,0.0,35791.5,0.890089822506515,0.0
AreadaQuadra,2,5848,0,29913.82705048439,15855.0,30622.156592698506,8495.75,39732.0,360.0,98322.0,1.0236790010525465,0.0
Ate2SalariosMinimos,2,5848,0,136.7923221614227,165.0,91.53988264952729,35.0,230.5,0.0,230.5,0.6691887468764879,0.0
Brasileira,2,5848,0,1583.296939124487,1877.0,1056.1831689897365,550.0,2348.0,4.0,3197.0,0.667078387439928,0.0
CA,2,5848,0,0.07957900362379139,0.040200980239096254,0.07002311069426713,0.011638431652025376,0.1574117119994697,0.0,0.1574117119994697,0.8799194197668068,0.0
Caminhada,2,5848,0,14572.468684478035,13024.684858,11211.81596909712,6419.599809,18939.959414,232.73212,83910.9456,0.7693834319945709,0.0
ComercioServicos,2,5848,0,5.04343365253078,4.0,3.9447390205416686,1.0,10.0,0.0,10.0,0.7821534478920349,0.0
ComercioServicos_pct,2,5848,0,0.09300701094391245,0.06,0.08808768459095272,0.01,0.2,0.0,0.225,0.9471080050521534,0.0
ConcentracaoAreaVerde,2,5848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoBOs,2,5848,0,8478.36687756498,3857.0,8886.15536216834,1329.5,16104.0,6.0,23398.5,1.0480975275654123,0.0
ConcentracaoIES,2,5848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoPatrimonioHistorico,2,5848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DeslocamentoBicicleta,2,5848,0,541.7652405475036,295.3205499654,623.097204982076,41.31143,857.3193200000001,0.0,1789.6647999999998,1.1501239990080925,0.0
DeslocamentoCaminhada,2,5848,0,12417.187513715939,8023.723315,11894.338501732604,3779.9676180128336,17561.829827,138.57538133498738,82555.36897747201,0.9578931210142555,0.0
DeslocamentoTansporteColetivo,2,5848,0,20970.219481103457,15879.795566277997,18522.776582666997,5626.563471892169,32925.017673,123.06280457332304,72290.23048000001,0.8832895907149716,0.0
DeslocamentoVeiculoIndividual,2,5848,0,21974.582385412323,19594.08748,15069.286167905988,9397.379557437689,32273.762076,369.2587716956286,58918.3919795,0.6857598430589348,5.563154903369524e-43
DestinoMotivoEducacao,2,5848,0,7014.4947954046065,4401.156156062399,7311.660211850114,1991.1671165584726,10038.127152,0.0,43042.32096900001,1.0423644788560096,0.0
DestinoMotivoOutros,2,5848,0,10676.704040251589,9112.1747655,6969.480015784499,5538.524070415757,14436.959655,401.741871,27674.6596675,0.6527744882230779,0.0
DestinoMotivoResidencia,2,5848,0,18121.03224837189,14343.919423,13554.475464695832,7754.007306267566,25623.60645,0.0,114528.69217,0.7479968734073443,0.0
DestinoMotivoTrabalhoComercioServico,2,5848,0,16091.445874576855,11015.845654637984,12508.068591677798,4935.634180333775,26868.922391,214.5315005272488,35995.05335999999,0.7773116654134545,0.0
DestinoMotivotrabalhoindustria,2,5848,0,1830.637772589876,1012.1344565189728,2007.963812757,316.225445283995,2282.554384,0.0,6447.925698519884,1.0968657168677634,0.0
DistanciaAceleradoraIncubadora,2,5848,0,516.633528711929,510.559318398871,101.73077679919378,427.282640232773,605.57614381766,350.042147366402,699.823044891128,0.1969109071430749,3.4299383526896613e-38
DistanciaAreasVerdes,2,5848,0,1403.0490400412023,1289.89707750082,747.1410663453596,846.281943489375,1916.15959254028,3.79366317805673,3744.9434921984935,0.5325124389974415,8.411805836136817e-32
DistanciaPatrimonioHistorico,2,5848,0,711.8519996699911,517.488703385735,732.1447002945629,247.788872093893,963.372486632828,1.76525108178209e-09,5666.136636315466,1.0285069096300625,0.0
DistanciaStartup,2,5848,0,352.981204525458,351.36769602295,85.85916333146771,276.84319754065,427.743703633554,200.068527598337,499.991397847046,0.24324004289943804,1.0471233939545042e-36
DistanciaTransportePublico,2,5810,38,853.5773080495753,668.262391116974,684.3122503340085,460.36310784705,997.2204879330541,10.6029284278582,6321.666480570331,0.8016992062472494,0.0
EmpresaGrandePorte,2,5848,0,809.000598495212,702.0,626.3186638685445,175.5,1373.0,0.0,1734.0,0.7741881341417219,0.0
EmpresaMedioPorte,2,5848,0,606.3143809849521,639.0,391.0685636488284,197.0,1005.0,4.0,1110.5,0.6449930529662534,0.0
EmpresaPequenoPorte,2,5848,0,121.05403556771546,106.0,82.4342028406598,41.0,218.0,0.0,218.0,0.680970299371371,0.0
EnsinoMedioCompleto,2,5848,0,150.7608584131327,119.0,119.04149994360489,47.0,279.0,0.0,332.5,0.7896048165061075,0.0
EnsinoSuperiorCompleto,2,5848,0,1211.1608242134064,1246.0,803.9058449160252,386.0,1971.0,0.0,2342.75,0.6637482230637086,0.0
Estrangeira,2,5848,0,18.993544801641587,14.0,15.711373666753707,5.0,31.0,0.0,47.25,0.827195440916105,0.0
Feminino,2,5848,0,527.6638166894664,606.0,354.1651371059942,174.0,735.0,1.0,1102.0,0.6711946620255423,0.0
FracaoIdeal,2,5848,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,
Maisde10SalariosMinimos,2,5848,0,468.3066005471956,404.0,417.0767823492034,96.0,686.0,0.0,1237.0,0.8906062435632288,0.0
Maisde2Baldeacoes,2,5848,0,2318.905830479488,1403.07887,2519.5202931531403,106.039101287825,4327.601521,0.0,8393.1915,1.0865125526171844,0.0
Maisde65anos,2,5848,0,20.15073529411765,22.0,14.11391981289177,5.0,35.0,0.0,35.0,0.7004171116778983,0.0
Masculino,2,5848,0,1066.6740766073872,1165.0,713.8449333704016,336.0,1578.0,3.0,2089.0,0.6692249760496879,0.0
MestradoDoutoradoCompleto,2,5848,0,30.110379616963066,47.5,20.883903392141935,5.0,47.5,0.0,47.5,0.6935782164757804,0.0
NaoMapeado,2,5848,0,1065.401415392578,354.922025,1188.1321506614993,0.0,2674.602975,0.0,2674.602975,1.115196707546796,0.0
Numero_Viagens,2,5848,0,59278.37679298566,54951.844741048495,37198.11035076568,29886.315278,81162.08296,2760.7724378094254,188470.121521,0.6275156703543084,1.4531465075048353e-42
NumerodePavimentos,2,5848,0,2.091655266757866,2.0,0.9442627181559224,1.0,3.0,0.0,3.5,0.45144280377500284,0.0
OrigemMotivoEducacao,2,5848,0,5909.743576868111,4512.7945,4838.855542957975,2327.8561354796075,9116.888314,0.0,46616.894325,0.8187928088619951,0.0
OrigemMotivoOutros,2,5848,0,9444.145850293822,8363.052582042954,6053.152221205296,5436.634766056427,12801.197682172777,212.7091,30404.07572,0.6409422638275936,0.0
OrigemMotivoResidencia,2,5848,0,29712.810288597346,20675.603237,23934.740145241656,10644.08094,43470.299171,606.2861702836681,87281.66385849999,0.8055360604657078,0.0
OrigemMotivoTrabalhoComercioServico,2,5848,0,11559.60196089985,9411.408717,8931.09600652677,4229.762500001728,17090.208373,183.46766,47766.673715,0.7726127626830097,0.0
OrigemMotivotrabalhoindustria,2,5848,0,1114.2483045173915,782.6176479999999,1152.8338275493409,363.15961188265,1458.729595,0.0,7838.311024,1.0346291960916751,0.0
