cluster,var_x,var_y,rho,p
0,2a5SalariosMinimos,EmpresaGrandePorte,0.8161017941554761,0.0
0,2a5SalariosMinimos,EmpresaMedioPorte,0.8712997418611225,0.0
0,2a5SalariosMinimos,EmpresaPequenoPorte,0.8524188197130221,0.0
0,2a5SalariosMinimos,EnsinoMedioCompleto,0.7178515482629233,0.0
0,2a5SalariosMinimos,EnsinoSuperiorCompleto,0.8131625028281712,0.0
0,2a5SalariosMinimos,Estrangeira,0.7209318707990297,0.0
0,2a5SalariosMinimos,Feminino,0.900540484045532,0.0
0,2a5SalariosMinimos,FracaoIdeal,,
0,2a5SalariosMinimos,Maisde10SalariosMinimos,0.674522926079198,0.0
0,2a5SalariosMinimos,Maisde2Baldeacoes,0.07740092144028211,0.0
0,2a5SalariosMinimos,Maisde65anos,0.790151171887477,0.0
0,2a5SalariosMinimos,Masculino,0.8890838272277686,0.0
0,2a5SalariosMinimos,MestradoDoutoradoCompleto,0.6478893789385268,0.0
0,2a5SalariosMinimos,NaoMapeado,0.15621044621738028,0.0
0,2a5SalariosMinimos,Numero_Viagens,-0.013147902654437526,3.784147695059366e-15
0,2a5SalariosMinimos,NumerodePavimentos,0.1541786726737299,0.0
0,2a5SalariosMinimos,OrigemMotivoEducacao,-0.20737573758771838,0.0
0,2a5SalariosMinimos,OrigemMotivoOutros,0.010654549777853729,1.8796309842779207e-10
0,2a5SalariosMinimos,OrigemMotivoResidencia,-0.027918412727887622,1.3889086980430038e-62
0,2a5SalariosMinimos,OrigemMotivoTrabalhoComercioServico,-0.1368728538101043,0.0
0,2a5SalariosMinimos,OrigemMotivotrabalhoindustria,-0.1591931570133253,0.0
0,2a5SalariosMinimos,OutrosUsos,-0.1011925948093129,0.0
0,2a5SalariosMinimos,OutrosUsos_pct,-0.10382022303161272,0.0
0,2a5SalariosMinimos,ResidencialAltoPadraoHor,,
0,2a5SalariosMinimos,ResidencialAltoPadraoHor_pct,,
0,2a5SalariosMinimos,ResidencialAltoPadraoVert,,
0,2a5SalariosMinimos,ResidencialAltoPadraoVert_pct,,
0,2a5SalariosMinimos,ResidencialMedioPadraoHor,0.016610596985755358,3.0009087995830235e-23
0,2a5SalariosMinimos,ResidencialMedioPadraoHor_pct,0.06784548160684455,0.0
0,2a5SalariosMinimos,ResidencialMedioPadraoVert,,
0,2a5SalariosMinimos,ResidencialMedioPadraoVert_pct,,
0,2a5SalariosMinimos,ResidencialPopularHor,-0.14974765139517066,0.0
0,2a5SalariosMinimos,ResidencialPopularHor_pct,-0.13110761212382838,0.0
0,2a5SalariosMinimos,ResidencialPopularVert,,
0,2a5SalariosMinimos,ResidencialPopularVert_pct,,
0,2a5SalariosMinimos,SemBaldeacao,-0.08693376934825064,0.0
0,2a5SalariosMinimos,TO,0.2317726688866535,0.0
0,2a5SalariosMinimos,TempoMediodeViagem,-0.26558780107616853,0.0
0,2a5SalariosMinimos,Terreno,-0.21521437214324873,0.0
0,2a5SalariosMinimos,Terreno_pct,-0.20993921884576996,0.0
0,2a5SalariosMinimos,Unnamed: 0,-0.5611445200579511,0.0
0,2a5SalariosMinimos,UsoTotal,-0.03384242722911643,4.244049971577968e-91
0,2a5SalariosMinimos,ValorConstrucaoM2,0.5282535428259763,0.0
0,2a5SalariosMinimos,ValorTerrenoM2,0.5529918409307943,0.0
0,2a5SalariosMinimos,concentracaoStartups,,
0,2a5SalariosMinimos,cont_aceleradora,,
0,2a5SalariosMinimos,cr_1_pct,,
